pid,has_pool
734357,Y
734330,N
734294,S
734338,Y
734343,Y
734324,Y
734361,S
734356,Y
734329,N
734295,Y
734337,N
734344,N
734323,N
734291,Y
734355,N
734328,Y
734296,N
734336,Y
734345,Y
734322,Y
734359,Y
734332,N
734292,Y
734340,Y
734341,Y
734354,Y
734335,N
734346,N
734321,Y
734353,Y
734334,N
734347,N
734320,Y
734363,Y
734352,N
734333,N
734348,Y
734319,N
734351,Y
734349,Y
734318,Y
734370,N
734350,Y
734317,Y
734369,Y
734316,Y
734368,Y
734367,N
734315,N
734366,N
734314,N
734365,Y
734313,Y
734364,N
734312,Y
734358,Y
734331,N
734293,N
734339,N
734342,Y
734311,Y
734310,Y
734325,Y
734362,Y
734297,N
734309,Y
734298,N
734308,N
734299,N
734307,N
734300,Y
734306,N
734301,Y
734305,Y
734304,Y
734303,Y
734302,Y
722544,N
722336,N
722976,Y
722385,Y
722351,N
722399,Y
722352,N
722573,Y
722491,Y
722733,N
722721,N
722522,N
722459,N
722584,Y
722622,Y
722648,N
722638,N
722574,N
722510,N
722606,N
722552,N
722379,Y
722757,Y
722796,Y
722414,Y
722310,Y
722441,N
722703,Y
722683,Y
722694,Y
722611,N
722636,N
722674,N
722494,Y
722600,Y
722562,Y
722793,Y
722405,N
722345,Y
722458,N
722714,N
722567,Y
722621,Y
722647,Y
722637,Y
722431,Y
722569,Y
722509,N
722607,Y
722551,N
722380,Y
722311,Y
722442,Y
722684,Y
722612,Y
722423,N
722495,Y
722599,N
722563,Y
722372,N
722747,Y
722794,N
722406,N
722457,N
722713,N
722620,Y
722432,N
722568,N
722508,N
722608,N
722728,Y
722381,Y
722412,N
722443,N
722788,Y
722761,N
722424,N
722496,Y
722626,N
722564,Y
722373,N
722795,Y
722407,N
722456,N
722619,Y
722433,N
722507,N
722579,N
722729,N
722382,Y
722411,N
722313,Y
722932,S
722933,N
722934,N
722935,N
722936,N
722937,N
722938,N
722939,N
722963,S
722940,S
722962,S
722941,S
722961,N
722942,N
722960,S
722943,Y
722959,N
722944,Y
722958,S
722945,S
722957,S
722946,S
722956,Y
722947,S
722955,S
722948,N
722954,S
722949,N
722953,Y
722950,S
722952,N
722951,Y
637951,S
637644,Y
637950,Y
637643,S
637642,S
637949,Y
637641,Y
637948,S
637640,S
637947,Y
637639,S
637946,S
637638,Y
637637,Y
637945,Y
637636,Y
637944,Y
637635,Y
637634,Y
637943,S
722686,S
722762,S
722425,S
722497,Y
722627,S
722565,Y
722374,S
722749,S
722408,S
722344,S
722455,S
722618,S
722506,Y
722609,S
722383,Y
670366,S
670365,S
670367,S
670364,S
670363,S
993429,Y
993428,N
993427,N
993426,N
993425,N
993424,N
993423,N
993422,N
993421,Y
993420,Y
993431,N
1042507,N
1042508,N
1042509,N
1042500,N
1042510,N
1042501,Y
1042511,N
1042502,N
1042512,N
1042513,Y
1042514,N
1042515,N
1042489,N
1042490,N
1042491,Y
1042516,N
1042492,Y
1042517,N
1042493,N
1042518,N
1042494,Y
1042519,N
1042498,N
1042520,N
1042521,N
1042528,N
1042522,N
1042527,N
1042523,N
1042526,S
1042524,N
1042525,N
1101814,N
1101821,N
1101813,N
1101823,N
1101812,N
1101870,Y
1101835,N
1101824,N
1101811,N
1101869,Y
1101837,N
1101825,N
1101810,N
1101868,N
1101839,N
1101826,N
1101809,N
1101867,N
1101841,N
1101827,N
1101808,N
1101866,N
1101843,N
1101828,N
1101807,Y
1101865,N
1101845,N
1101829,N
1101806,S
1101847,N
1101804,N
1101849,Y
1070735,N
1101851,N
1070734,N
1101853,S
1070733,N
1101864,Y
1101830,N
1101863,S
1101831,N
1101862,N
1101832,N
1070782,Y
1070737,N
1070781,S
1070738,N
1070780,S
1070739,N
1070779,S
1070740,N
1070778,N
1070741,Y
1070777,N
1070743,N
999517,N
993387,N
993388,N
993389,N
993390,N
993391,N
993392,N
993393,N
993394,N
993395,N
993396,N
993397,N
993398,N
993419,N
993399,S
993418,N
993400,S
993417,N
993401,S
993416,N
993402,S
993415,N
993403,S
993414,N
993404,S
993413,N
993405,S
993412,N
993406,S
993411,N
993407,S
1042506,N
993408,S
1042505,N
1042504,Y
993409,S
613049,N
612872,N
613047,N
612873,N
612871,Y
613046,N
613072,N
612874,N
613051,Y
612870,N
613045,N
613071,N
612875,Y
613052,N
612869,Y
613121,Y
613146,Y
613122,Y
613147,Y
613143,Y
1000215,Y
613123,N
613142,Y
1000213,N
613124,Y
613141,Y
1000212,Y
613125,Y
613140,Y
1000211,Y
613126,Y
1000056,N
613139,N
1000210,Y
613127,Y
1000061,N
613138,N
1000209,Y
613128,Y
613137,Y
1000208,Y
613129,Y
1000062,Y
613136,Y
1000207,Y
613130,Y
1000063,Y
613135,N
1000206,Y
613131,Y
1000064,Y
613132,Y
613134,N
613133,S
1000065,Y
1000205,Y
1000066,Y
1000204,Y
1000067,N
1000070,Y
1000068,Y
1000069,N
1000047,Y
1000048,S
1000051,N
1000049,N
1000050,Y
1000052,Y
1000055,Y
1000053,Y
1000054,Y
613282,N
613328,N
613283,N
613327,N
613284,N
613329,Y
613285,S
613325,Y
613307,Y
613286,Y
613324,Y
613306,N
613309,N
613287,Y
613323,S
613305,S
613310,Y
613288,N
613322,N
613304,N
613311,Y
613289,N
613321,Y
613303,N
613312,Y
613290,S
613320,N
613302,S
613313,N
613319,Y
613301,N
613314,N
613292,Y
613318,N
613300,Y
613315,Y
613293,N
613317,Y
613299,S
613316,N
613294,S
613298,Y
613295,Y
613297,Y
613296,Y
614307,N
614310,Y
614312,N
614311,Y
614323,N
614322,N
614318,N
614321,N
614319,Y
614320,N
614119,N
614348,Y
614229,Y
614347,Y
614218,S
614120,S
614349,Y
614325,S
614228,S
614346,Y
614219,S
614121,Y
614350,Y
614326,Y
614227,N
614345,S
614106,S
614220,S
614122,S
614327,N
614226,S
614105,Y
614221,N
614332,N
614123,S
614328,Y
614104,S
614124,S
614329,Y
614331,Y
614103,N
614125,Y
614330,Y
614126,S
614154,N
614127,N
614128,S
614152,N
614129,Y
614151,Y
614130,S
614150,S
614131,Y
614390,N
613807,Y
614397,N
613813,N
614386,S
613808,N
614391,N
613814,N
614149,S
614132,N
614389,N
613806,S
614396,N
613812,N
613805,N
614387,Y
613809,N
614392,N
613815,Y
614148,N
614133,N
614388,Y
614395,N
613811,S
613804,N
613810,N
614393,Y
613816,Y
614147,S
614134,N
614394,S
637633,S
637632,Y
637618,S
637921,Y
637930,Y
637936,S
637617,S
637922,S
637659,Y
637929,S
637619,Y
637920,Y
637913,Y
637931,Y
637935,Y
637616,S
637923,Y
637658,S
637928,S
637914,S
637620,S
637919,Y
637994,Y
637660,S
637932,S
637934,S
637924,Y
638068,S
637657,Y
637927,Y
637915,Y
637918,Y
637995,S
637751,S
637933,Y
637925,S
638067,S
637656,S
637926,Y
637916,Y
637917,S
637996,Y
638066,Y
637997,Y
638065,Y
638064,Y
637967,Y
638090,Y
637965,Y
637964,Y
637952,Y
637971,N
637966,Y
637960,N
638091,Y
637984,N
637963,Y
637973,S
637956,Y
638093,S
637974,S
637975,Y
637976,S
637977,S
637978,Y
637979,S
637980,Y
637981,S
637982,Y
638116,S
638057,Y
638094,Y
638112,S
638107,S
638115,N
638056,Y
638095,Y
638113,N
638108,N
638117,N
638055,Y
638096,N
638114,Y
638109,N
638118,Y
638054,Y
638097,S
638110,N
638119,Y
638053,Y
638098,Y
638111,Y
638052,Y
638099,S
638051,Y
638050,N
